Timestamp,Station,AirTemperature,RelativeHumidity,Precipitation,WindDirection2m,WindSpeed2m,SoilTemperature5cm,SoilTemperature10cm,SolarRadiation
2026-06-09+00:00,Roth+Tech+Farm,20.9,82.4,0,32,3.9,25.3,25.5,0
2026-06-09+01:00,Roth+Tech+Farm,19.8,82.1,0,38.3,3.8,24.9,25.1,0
2026-06-09+02:00,Roth+Tech+Farm,19.6,79.2,0,51.9,2.9,24.5,24.8,0
2026-06-09+03:00,Roth+Tech+Farm,19.5,77.6,0,64.6,2.6,24.1,24.4,0
2026-06-09+04:00,Roth+Tech+Farm,18.7,82.5,0,72.6,2.8,23.7,24.1,0
2026-06-09+05:00,Roth+Tech+Farm,17.9,87.9,0,102,2.6,23.4,23.8,0
2026-06-09+06:00,Roth+Tech+Farm,17.4,92.9,0,109.9,1.7,23,23.5,15.6
2026-06-09+07:00,Roth+Tech+Farm,19,92.6,0,132.1,2.1,22.8,23.3,154.4
2026-06-09+08:00,Roth+Tech+Farm,22.1,76.6,0,172.8,2.8,22.9,23.1,335.7
2026-06-09+09:00,Roth+Tech+Farm,26.9,51.6,0,193.1,2.8,23.1,23.1,462.5
2026-06-09+10:00,Roth+Tech+Farm,30.5,37.6,0,195.4,2.8,23.5,23.3,619.2
2026-06-09+11:00,Roth+Tech+Farm,32.7,28.9,0,202.4,1.6,24.2,23.7,717.8
2026-06-09+12:00,Roth+Tech+Farm,35,21.5,0,213.4,1.9,25.1,24.2,896.5
2026-06-09+13:00,Roth+Tech+Farm,36.9,19.2,0,194.5,1.9,26.2,25,977.4
2026-06-09+14:00,Roth+Tech+Farm,38.2,16.4,0,176.6,1.4,27.3,25.8,756.9
2026-06-09+15:00,Roth+Tech+Farm,35.5,19.6,0,212,1.2,27.7,26.5,228.2
2026-06-09+16:00,Roth+Tech+Farm,33.6,22.4,0,217.4,2.5,27.5,26.6,102.2
2026-06-09+17:00,Roth+Tech+Farm,29.1,29.8,0,174.2,5.5,27.1,26.5,176.8
2026-06-09+18:00,Roth+Tech+Farm,31,31.9,0,172,6,26.7,26.3,321.1
2026-06-09+19:00,Roth+Tech+Farm,27.3,44.5,0,170.5,5.1,26.6,26.2,181.2
2026-06-09+20:00,Roth+Tech+Farm,26,46.5,0,171.5,3.4,26.2,26,31.3
2026-06-09+21:00,Roth+Tech+Farm,26.5,40.7,0,198.1,4.7,25.8,25.8,1.7
2026-06-09+22:00,Roth+Tech+Farm,23.2,54.6,0,139.9,2.8,25.4,25.5,0
2026-06-09+23:00,Roth+Tech+Farm,21.5,63.4,0,158.4,3.7,25,25.2,0
